Foto,"Mediciones(valor, error)[cm]"
164151598,"(0.036370163857267775, 0.0001626523174753134)"
171219177,"(2.3484779774389217, 8.13261587376567e-05)"
171340262,"(0.7044605684988883, 4.695367963934433e-05)"
171442093,"(0.6701245205298267, 4.695367963934433e-05)"
172921941,"(0.5798707556260985, 4.066307936882835e-05)"
172631960,"(0.48037217924352876, 3.731500077934662e-05)"
171539519,"(0.5980548559767428, 4.347066036838619e-05)"
172723255,"(0.3626458759387733, 3.189874387452738e-05)"
171740093,"(0.5515843773028742, 4.066307936882835e-05)"
171839967,"(0.31610830829695974, 2.969611443724029e-05)"
171921081,"(0.29349684132292836, 2.969611443724029e-05)"
172116591,"(0.27209131925417857, 2.71087195792189e-05)"
172238962,"(0.262537465190376, 2.6739876275810993e-05)"
172421706,"(0.2518569552184427, 2.6045215309440845e-05)"
